bestobjid,mjd,z,oiii_4959_flux,oiii_5007_flux,h_beta_flux,nii_6548_flux,nii_6584_flux,h_alpha_flux
1.23765E+18,51900,0.08633374,-1.409008,5.661076,5.324318,2.46217,7.426473,6.353951
1.23767E+18,51900,0.07372984,11.9467,11.26937,15.72265,28.89181,87.14436,172.5919
1.23765E+18,51900,0.2786633,0.8384308,1.686299,19.88859,1.157254,3.490545,10.35452
1.23767E+18,51900,0.04151317,124.4263,370.9406,138.981,8.29833,25.02968,381.8019
1.23767E+18,51900,0.201963,-0.4689557,1.537112,2.48454,-2.141446,-6.459096,-1.389658
1.23767E+18,51900,0.141829,3.213523,10.6369,43.41477,45.29434,136.6182,250.715
1.23765E+18,51900,0.2392828,-1.308092,11.45697,4.760246,7.043108,21.24364,16.44969
1.23767E+18,51984,0.4032789,3.293012,2.985431,-1.701806,4.523776,13.64475,0
1.23767E+18,51984,0.06447912,7.177619,14.15103,2.33521,6.30153,19.00687,21.91124
1.23767E+18,51984,0.4589773,-0.5666402,7.205798,0.6585855,0,0,0
1.23765E+18,51984,0.0762712,7.215572,23.91211,45.51136,24.05331,72.55034,211.5304
1.23765E+18,51984,0.1087674,1.46831,5.570322,13.57121,10.5918,31.94732,83.16314
1.23765E+18,51984,0.08468816,-0.9992539,5.792456,1.406933,0.5364505,1.618059,6.96818
1.23765E+18,51984,0.1000257,3.13359,6.947927,7.410211,8.227272,24.81535,30.36576
1.23767E+18,51984,0.07771457,33.35847,96.69643,81.25031,15.80028,47.6573,259.9484
1.23767E+18,51984,0.09612727,2.090638,1.612969,17.4074,11.42568,34.46247,81.20149
1.23767E+18,51984,0.2910671,-0.5518343,1.051468,-0.7045702,0.7247245,2.185936,2.941495
1.23767E+18,51612,0.171417,1.855772,5.618355,7.223308,6.80587,20.52808,28.26455
1.23765E+18,51612,0.1005885,-4.200937,2.809502,9.51607,3.460912,10.43891,21.11898
1.23765E+18,51612,0.1011821,2.27856,7.487369,17.84415,0.1290516,0.3892494,15.52124
1.23765E+18,51612,0.1803769,30.22202,84.36128,42.49977,14.12573,42.60646,63.80471
1.23767E+18,51612,0.3810531,-0.8835366,4.723546,0.8039046,1.118481,3.373597,10.67151
1.23765E+18,51614,0.1216745,4.220362,14.53666,39.83034,39.06385,117.8256,216.4489
1.23765E+18,51614,0.03990258,8.123871,29.70354,11.64756,1.994071,6.014578,58.80219
1.23767E+18,51614,0.1040151,-1.294851,5.867085,-2.074764,1.585053,4.780886,-1.188231
1.23765E+18,51614,0.1379391,13.60326,44.43919,149.8733,104.0458,313.8262,789.0991
1.23767E+18,51614,0.07563497,2.048766,11.44345,4.111354,4.095696,12.35356,19.66314
1.23767E+18,51658,0.2209758,0.9271372,5.070333,4.341149,3.260516,9.834468,2.172037
1.23765E+18,51658,0.1250188,-122.9181,6.593963,10.10575,3.2554,9.819039,34.37058
1.23767E+18,51959,0.1383593,6.570189,10.37786,15.22745,14.73471,44.44327,82.80907
1.23767E+18,51959,0.07778755,13.85554,28.65647,22.5532,19.09258,57.58764,78.70827
1.23767E+18,51959,0.4103516,3.157024,3.416837,3.020969,-3.76E+08,-1.13E+09,0
1.23767E+18,51959,0.1442351,-0.7196632,3.012696,1.355762,0.4017124,1.211657,-0.6951753
1.23765E+18,51959,0.09238252,53.54305,165.1635,216.8213,72.17316,217.6909,776.0789
1.23767E+18,51959,0.4517223,0.1747674,2.69382,0.6098932,0,0,0
1.23767E+18,51959,0.1323311,1.411445,0.9698857,0.578272,2.596463,7.831532,19.61182
1.23765E+18,51959,0.1260723,2.614328,5.123285,-1.196299,0.979297,2.953786,2.971257
1.23765E+18,51943,0.03648656,1396.025,4160.298,1586.135,199.9109,602.9774,5264.038
1.23765E+18,51943,0.1093556,-0.4306693,0.7152557,-10.51276,-0.01008381,-0.03041511,-0.5561235
1.23765E+18,51943,0.1315659,3.361622,5.903183,6.621965,3.80462,11.47561,21.47037
1.23767E+18,51943,0.1262302,8.231418,3.318016,0.7351399,2.408302,7.263994,10.83126
1.23765E+18,51943,0.1353204,6.643958,12.08816,41.03507,15.08981,45.51434,151.705
1.23765E+18,51943,0.1275189,-2.531182,4.38237,-0.6939214,-0.7180496,-2.165803,7.838912
1.23767E+18,51943,0.1068211,-1.111688,1.462969,2.525412,0.03259508,0.09831427,0.967927
1.23767E+18,51943,0.1209676,50.53557,158.8015,123.4968,25.81684,77.86956,439.6479
1.23767E+18,51943,0.1359903,0.4970981,3.580527,6.06938,-1.383716,-4.173607,1.545495
1.23767E+18,51943,0.2627643,0.4669518,6.506598,-2.04745,3.206012,9.670072,0
1.23767E+18,51943,0.1359048,2.333417,9.314813,9.769014,8.814571,26.58678,39.21469
1.23765E+18,51943,0.04735294,233.1331,683.1379,243.1725,329.4102,993.5772,1058.512
1.23767E+18,51943,0.1058687,9.337376,15.43062,63.26854,36.05069,108.7372,288.5484
1.23765E+18,51943,0.1060598,2.257762,2.072971,5.474591,2.006438,6.051879,12.19249
1.23767E+18,51930,0.2002823,0.7831077,7.165926,35.117,22.97282,69.29134,202.2642
1.23767E+18,51930,0.0798995,3.077408,5.534417,7.846034,8.335325,25.14126,37.22224
1.23767E+18,51930,0.09473002,1.829772,8.325376,22.96469,18.32904,55.28461,96.39041
1.23765E+18,51930,0.1296634,-7.689774,8.845414,0.5486453,-1.879188,-5.668064,22.62402
1.23765E+18,51930,0.07698749,10.1137,28.53598,35.45103,32.60161,98.33398,104.4401
1.23767E+18,51930,0.07773421,1.984985,4.961171,6.598575,2.99332,9.028543,14.03007
1.23765E+18,51930,0.1070096,5.788449,6.468892,14.06786,9.989679,30.13118,61.33777
1.23765E+18,51930,0.07601459,7.581987,17.00224,37.91885,22.90538,69.0879,154.872
1.23765E+18,51930,0.0816094,1.684072,23.98978,26.86275,19.22491,57.98678,71.19834
1.23765E+18,51999,0.07943482,0.8924168,16.97668,22.37771,8.75751,26.41467,78.32187
1.23767E+18,51999,0.4596634,3.219739,1.732914,2.580894,0,0,0
1.23765E+18,51999,0.1057941,-2.489848,6.897538,6.319046,6.175513,18.62677,15.67532
1.23767E+18,51999,0.09272203,3.15626,5.354133,19.36639,15.55212,46.9088,90.7588
1.23767E+18,51999,0.1053215,10.80974,22.83885,72.56077,39.19275,118.2144,321.8729
1.23767E+18,51999,0.08723481,39.24128,118.6632,21.67869,18.79666,56.69506,92.66483
1.23765E+18,51999,0.2830647,-9.002703,0.1835579,-2.076228,-0.564402,-1.702367,5.875745
1.23767E+18,51999,0.1591648,-0.1626034,6.684633,12.1553,7.930441,23.92004,50.05695
1.23765E+18,52023,0.0831765,2.079043,5.222545,5.311414,5.517138,16.64096,14.32546
1.23767E+18,52023,0.1198586,5.398289,19.10064,53.66758,25.19735,76.00102,235.7271
1.23765E+18,52023,0.1156628,10.84518,13.28675,9.770896,11.96583,36.0917,53.19108
1.23765E+18,52023,0.09551441,2.879781,9.669273,16.37115,8.814356,26.58613,51.4234
1.23765E+18,52023,0.1996294,6.593832,5.309453,42.39381,22.62826,68.25204,199.9667
1.23765E+18,52023,0.3226115,1.557387,2.234287,-1.788966,0.3331587,1.004884,-1.897004
1.23765E+18,52023,0.09969272,10.08482,19.11347,23.3775,10.65717,32.14448,78.88706
1.23765E+18,52023,0.1194065,1.742182,2.861765,10.53164,6.588622,19.8728,19.97672
1.23765E+18,52000,0.07820489,105.9363,318.9478,134.6575,25.71123,77.55101,498.7298
1.23765E+18,52000,0.2064416,-7.303296,19.05816,6.391095,7.378189,22.25432,7.924575
1.23765E+18,52000,0.07273933,7.101645,17.59427,8.62144,9.47266,28.57173,25.69945
1.23765E+18,52000,0.1851017,7.739735,27.29745,97.0768,65.55563,197.7309,421.021
1.23765E+18,52000,0.06985381,11.41211,29.58373,59.78938,26.46747,79.83201,235.3805
1.23765E+18,52000,0.04817573,82.34506,272.5005,560.2324,205.7083,620.4638,2318.259
1.23765E+18,52000,0.3474464,0.2003461,2.719331,2.00772,-0.7369846,-2.222916,2.862893
1.23765E+18,51990,0.07983261,-0.5534388,1.340765,22.28043,2.170613,6.547069,35.95048
1.23765E+18,51990,0.1464953,-3.142451,14.89082,1.785582,6.021114,18.16107,13.92607
1.23765E+18,51990,0.3236009,0.6526433,2.024635,0.5015224,1.668492,5.032556,5.749998
1.23765E+18,51990,0.1536882,-0.1467253,19.41794,12.21194,1.418685,4.279082,23.14996
1.23765E+18,51990,0.04054479,138.7148,403.6743,141.4336,11.97391,36.11608,451.7257
1.23765E+18,51990,0.07269458,2.208726,3.294376,1.386565,3.339802,10.07361,7.556717
1.23765E+18,51990,0.1138954,2.031877,32.88108,7.491258,3.343575,10.085,27.25087
1.23765E+18,51990,0.1503709,17.47269,52.13139,55.77791,26.92293,81.20578,272.2761
1.23765E+18,51990,0.1481513,6.459874,28.23894,58.33406,33.99459,102.5355,243.3733
1.23765E+18,51990,0.1732009,4.703722,20.39895,7.959589,-0.1478101,-0.4458292,34.05239
